"To The Beat Tight Reflective 24"" lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982,4.5 out of 5,1,Wanted to give 5 stars...,"I love almost everything about these pants but I couldn't give them 5 stars. I'm assuming the price is so high because of the SoulCycle affiliations, but I'm not sure they're worth it. I struggled with whether or not I would recommend. They feel amazing and I love the high rise but the reflective details do not reflect! I also could have gone down a size. So this review was a real struggle. I still love how they feel while I spin, I just don't think they are worth the price.",3 out of 5,MSCOOPS,"ST. JOHN'S, N:L",RUNNER,35-44,CURVY,,fabric,sizing,2019-02-08,0,0,{}
"To The Beat Tight Reflective 24"" lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982,4.5 out of 5,1,Not worth the price,I expected these to be reflective as in the description and they are not as reflective as other tights I have that aren't even described as reflective. The fit is as good as my other Lululemon tights but I also can't say if they will hold up yet since I have only worn them for one night run. These are expensive and not worth the extra money.,2 out of 5,MSQUAREDTOB,"CARMEL, IN, USA",RUNNER,45-54,ATHLETIC,,fit,not as described,2019-02-07,0,1,"{'LL_response_content': 'Dear msquaredtob,\n\nThank you for taking the time to share your feedback with us. We\'re sorry to hear that your To The Beat Tight *24"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"To The Beat Tight Reflective 24"" lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982,4.5 out of 5,1,Love These,So comfortable..fits perfectly..and looks great.. just what I was looking for,5 out of 5,BIKERELLE,MICHIGAN,CYCLIST,45-54,ATHLETIC,,style,nothing,2019-02-06,0,0,{}
"To The Beat Tight Reflective 24"" lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982,4.5 out of 5,1,Great leggings,I love the look and feel of these leggings. I am 5'8'' and got a size 6 and they fit great. They are the perfect length just above the ankle.,5 out of 5,ASH513,"HAMILTON, BERMUDA",SWEATY GENERALIST,25-34,LEAN,,fit,,2019-02-06,0,0,{}
"To The Beat Tight Reflective 24"" lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982,4.5 out of 5,1,Great!!,"These leggings are amazing!! The pattern is very flattering for your legs and these are very comfortable to wear. They never fall down and they hold everything in so well! For reference I am 5’3” and 135 lbs, and I was worried about the length but they lie just above my ankle.",5 out of 5,CCVONLIN,MICHIGAN,SWEATY GENERALIST,18-24,ATHLETIC,,pattern,,2019-02-06,0,0,{}
"To The Beat Tight Reflective 24"" lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982,4.5 out of 5,1,Love in every way,The fit is absolutely perfect on these and the fabric is great. Highly recommend.,5 out of 5,TRBBA,"CINCINNATI, OHIO",RUNNER,25-34,ATHLETIC,,,,2019-02-05,0,0,{}
"To The Beat Tight Reflective 24"" lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982,4.5 out of 5,1,Like them but run a little big,"I bought these in my normal size but they are bigger than all of my other pants which is prett disappointing considering the price. I ripped the tags and washed them just assuming that they would fit like all of my others. Other than being too big, I think they are pretty.",4 out of 5,AB91680,"SCOTTSDALE, AZ",SWEATY GENERALIST,35-44,ATHLETIC,,print,ran large,2019-02-05,1,0,{}
"To The Beat Tight Reflective 24"" lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982,4.5 out of 5,1,Perfect leggings,"These are the most perfect! The 24"" inseam hits at the most perfect right-above-ankle spot for my 5'2"" frame. The high waist actually stays put and hugs in a lovely way. I can't take these off, I love them so much.",5 out of 5,LOVESASWEATYRUN,LOS ANGELES,SWEATY GENERALIST,25-34,MUSCULAR,,,,2019-02-05,0,0,{}
"To The Beat Tight Reflective 24"" lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982,4.5 out of 5,2,Super soft,"I don't cycle. I bought these for the reflective qualities for running. They are super soft, great fit, and comfortable. Pockets would be great addition!",4 out of 5,ALTEREGO,"DALLAS, TX, USA",RUNNER,45-54,ATHLETIC,,,,2019-02-05,0,0,{}
"To The Beat Tight Reflective 24"" lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982,4.5 out of 5,2,LOVE LOVE LOVE,These are amazing! So soft and comfortable! I would defiantly recommend. I think they're my new favorite!!,5 out of 5,NICKI13,"RED DEER, AB",SWEATY GENERALIST,35-44,CURVY,,,price is high,2019-02-05,0,0,{}
